Sheet: [微信图片_20260725193757_754_202] Rows=24 Cols=41
R01:       1     2     3     4     5     6     7     8     1     2     3     4     5     6     7     8     1     2     3     4     5     6     7     8     1     2     3     4     5     6     7     8     1     2     3     4     5     6     7     8     
R02: 七1    语     数     英     道     美     体     劳     周会    数     英     信     语     历     地     语     数     英     语     数     道     体     生     英     数     数     语     地     英     历     音     英     语     英     数     语     生     体     社团    活动    教育    
R03: 七2    数     语     道     英     信     体     美     周会    英     数     语     体     地     历     数     语     语     英     道     数     生     劳     数     英     语     数     英     地     音     历     语     英     数     英     生     语     体     社团    活动    教育    
R04: 七3    语     数     历     英     道     美     体     周会    英     数     地     语     劳     生     语     数     语     英     数     道     历     体     数     英     数     语     英     体     地     信     语     英     数     英     生     语     音     社团    活动    教育    
R05: 七4    数     语     英     历     体     道     音     周会    数     英     语     地     生     体     数     语     英     语     道     数     劳     历     英     数     语     数     地     英     生     体     英     语     英     数     语     美     信     社团    活动    教育    
R06: 七5    语     数     英     道     地     生     历     周会    数     英     劳     语     体     音     数     语     英     语     数     历     道     地     数     英     数     语     信     英     体     生     英     语     数     英     语     体     美     社团    活动    教育    
R07: 七6    数     语     生     英     体     音     信     周会    英     数     语     道     历     数     语     体     语     英     地     数     生     体     英     数     语     数     英     历     劳     道     语     英     英     数     美     语     地     社团    活动    教育    
R08: 七7    语     数     英     地     体     信     数     周会    数     英     历     语     道     语     体     生     英     语     数     地     英     美     体     数     数     语     历     英     道     劳     英     语     语     英     数     音     生     社团    活动    教育    
R09: 八1    语     数     道     英     体     语     英     周会    数     英     物     语     美     地     生     信     英     语     数     物     体     生     历     劳     数     语     英     道     地     物     音     数     数     英     语     历     体     社团    活动    教育    
R10: 八2    数     语     英     道     体     美     语     周会    英     数     语     物     地     音     体     生     语     英     物     数     生     历     劳     英     语     数     道     英     物     地     数     体     英     数     历     语     信     社团    活动    教育    
R11: 八3    语     数     英     物     历     信     生     周会    英     数     物     语     体     道     地     英     语     英     数     体     生     音     语     美     数     语     物     英     劳     历     体     数     英     数     道     语     地     社团    活动    教育    
R12: 八4    数     语     物     英     生     历     体     周会    数     英     语     物     道     地     美     体     英     语     历     数     信     生     英     语     语     数     英     物     地     体     数     劳     数     英     语     道     音     社团    活动    教育    
R13: 八5    语     数     英     物     音     道     历     周会    数     英     地     语     生     物     语     体     英     语     数     劳     历     体     数     英     数     语     物     英     道     体     地     信     数     英     语     生     美     社团    活动    教育    
R14: 八6    数     语     物     英     道     音     美     周会    英     数     语     地     体     生     历     语     语     英     道     数     体     物     英     数     语     数     英     物     历     地     劳     体     英     数     信     语     生     社团    活动    教育    
R15: 八7    语     数     英     地     美     物     体     周会    数     英     道     语     体     历     生     语     英     语     数     物     道     地     英     数     数     语     生     英     音     劳     物     体     数     英     语     信     历     社团    活动    教育    
R16: 八8    数     语     地     英     历     生     物     周会    英     数     语     道     信     体     语     音     语     英     物     数     地     英     数     体     语     数     英     生     美     道     历     物     英     数     体     语     劳     社团    活动    教育    
R17: 九1    语     数     英     物     体     英     道     周会    数     英     化     语     物     历     语     数     英     语     数     道     化     物     体     音     数     语     历     英     物     化     语     美     英     数     语     体     化     社团    活动    教育    
R18: 九2    数     语     物     英     化     道     英     周会    英     数     语     化     历     物     数     语     语     英     道     数     物     化     音     体     语     数     英     历     体     物     美     语     数     英     化     语     体     社团    活动    教育    
R19: 九3    语     数     英     化     物     体     历     周会    数     英     物     语     化     体     语     道     英     语     数     化     历     物     数     英     数     语     道     英     化     体     语     美     数     英     语     音     物     社团    活动    教育    
R20: 九4    数     语     物     英     化     历     体     周会    英     数     语     物     化     道     体     语     语     英     化     数     物     体     英     数     语     数     英     物     化     历     美     语     英     数     道     语     音     社团    活动    教育    
R21: 九5    语     数     英     物     历     化     体     周会    数     英     化     语     物     音     道     美     英     语     数     化     体     历     英     语     数     语     物     英     道     体     语     数     数     英     语     物     化     社团    活动    教育    
R22: 九6    数     语     物     英     道     体     化     周会    英     数     语     化     音     物     美     历     语     英     物     数     道     化     语     英     语     数     英     历     体     化     数     语     英     数     物     语     体     社团    活动    教育    
R23: 九7    语     数     英     化     物     道     音     周会    数     英     物     语     历     化     体     美     英     语     数     物     化     体     语     英     数     语     物     英     化     道     语     数     英     数     语     体     历     社团    活动    教育    
R24: 九8    数     语     化     英     体     音     道     周会    英     数     语     物     化     历     美     体     语     英     道     数     物     化     英     语     语     数     英     体     历     物     数     语     数     英     化     语     物     社团    活动    教育    
